case_id,case_group,pair_id,query,families,expected_state,expected_rto_contains,expected_from,expected_to,expected_fuel_segment,expected_fuel_type,expected_fuel_filters,expected_selected_fuel_types,expected_vehicle_categories,expected_selected_vehicle_categories,expected_selected_vehicle_groups,expected_vehicle_classes,expected_selected_vehicle_classes,expected_norms,expected_selected_norms,expected_excluded_fuel_types,expected_excluded_vehicle_groups,expected_excluded_vehicle_classes,expected_excluded_vehicle_categories,expected_excluded_norms,notes
Q001,coverage,P01,Show vehicle registrations in Maharashtra for January 2025.,geography|date,Maharashtra,,2025-01,2025-01,,,,,,,,,,,,,,,,,
Q002,coverage,,Show registrations in Delhi from February 2025 to March 2025.,geography|date,Delhi,,2025-02,2025-03,,,,,,,,,,,,,,,,,
Q003,coverage,P02,Show diesel vehicle registrations in Karnataka during April 2024.,geography|date|fuel,Karnataka,,2024-04,2024-04,NON_EV,DIESEL,,DIESEL,,,,,,,,,,,,,
Q004,coverage,,Show petrol vehicle registrations in Tamil Nadu during May 2024.,geography|date|fuel,Tamil Nadu,,2024-05,2024-05,NON_EV,PETROL,,PETROL,,,,,,,,,,,,,
Q005,coverage,P03,Show EV registrations in Uttar Pradesh during June 2024.,geography|date|fuel,Uttar Pradesh,,2024-06,2024-06,EV,,,ELECTRIC(BOV)|PURE EV,,,,,,,,,,,,,
Q006,coverage,,Show CNG registrations in Gujarat during July 2024.,geography|date|fuel,Gujarat,,2024-07,2024-07,NON_EV,CNG,,CNG ONLY,,,,,,,,,,,,,
Q007,coverage,,Show electric BOV registrations in Rajasthan during August 2024.,geography|date|fuel,Rajasthan,,2024-08,2024-08,EV,ELECTRIC,,ELECTRIC(BOV),,,,,,,,,,,,,
Q008,coverage,,Show pure EV registrations in West Bengal during September 2024.,geography|date|fuel,West Bengal,,2024-09,2024-09,EV,PURE EV,,PURE EV,,,,,,,,,,,,,
Q009,coverage,P04,Show two wheeler registrations in Bihar during October 2024.,geography|date|category,Bihar,,2024-10,2024-10,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,,,,
Q010,coverage,,Show three wheeler registrations in Kerala during November 2024.,geography|date|category,Kerala,,2024-11,2024-11,,,,,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,,,,,,,,
Q011,coverage,,Show four wheeler registrations in Telangana during December 2024.,geography|date|category,Telangana,,2024-12,2024-12,,,,,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,,,,,,,,,
Q012,coverage,,Show LMV registrations in Madhya Pradesh during January 2025.,geography|date|category,Madhya Pradesh,,2025-01,2025-01,,,,,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,,,,
Q013,coverage,,Show HMV registrations in Odisha during February 2025.,geography|date|category,Odisha,,2025-02,2025-02,,,,,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,,,,
Q014,coverage,P05,Show motor car registrations in Assam during March 2025.,geography|date|class,Assam,,2025-03,2025-03,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,,,
Q015,coverage,,Show bus registrations in Jharkhand during April 2025.,geography|date|class,Jharkhand,,2025-04,2025-04,,,,,,,,BUS,BUS,,,,,,,,
Q016,coverage,,Show goods carrier registrations in Haryana during May 2025.,geography|date|class,Haryana,,2025-05,2025-05,,,,,,,,GOODS CARRIER,GOODS CARRIER,,,,,,,,
Q017,coverage,,Show passenger e-rickshaw registrations in Punjab during June 2025.,geography|date|class,Punjab,,2025-06,2025-06,,,,,,,,E-RICKSHAW(P),E-RICKSHAW(P),,,,,,,,
Q018,coverage,,Show scooter registrations in Andhra Pradesh during July 2025.,geography|date|class,Andhra Pradesh,,2025-07,2025-07,,,,,,,,M-CYCLE/SCOOTER,M-CYCLE/SCOOTER,,,,,,,,
Q019,coverage,P06,Show BS VI vehicle registrations in Chandigarh during August 2025.,geography|date|norm,Chandigarh,,2025-08,2025-08,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,,,
Q020,coverage,,Show BS IV vehicle registrations in Goa during September 2025.,geography|date|norm,Goa,,2025-09,2025-09,,,,,,,,,,BHARAT STAGE IV,BHARAT STAGE IV,,,,,,
Q021,coverage,,Show BS III motor car registrations in Maharashtra during October 2025.,geography|date|class|norm,Maharashtra,,2025-10,2025-10,,,,,,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE III,BHARAT STAGE III,,,,,,
