state,rto,rto_code,place_label,latitude,longitude,confidence_score,source,reviewed,notes
Andaman & Nicobar Island,Baratang - AN201( 29-NOV-2024 ),AN-201,Baratang,11.70065,92.67517,0.6200,geonames,false,"geonames=1278647; matched=""Union Territory of Andaman and Nicobar Islands""; query=""Andaman & Nicobar Island""; feature=ADM1"
Andaman & Nicobar Island,Campbell Bay - AN212( 18-FEB-2022 ),AN-212,Campbell Bay,7.00832,93.89419,0.6800,geonames,false,"geonames=12524333; matched=""Campbell Bay""; query=""Campbell Bay""; feature=PPL"
Andaman & Nicobar Island,Car Nicobar - AN211( 23-FEB-2023 ),AN-211,Car Nicobar,7.03002,93.79028,0.6200,geonames,false,"geonames=1261448; matched=""Nicobar""; query=""Nicobar""; feature=ADM2"
Andaman & Nicobar Island,Diglipur - AN204( 09-NOV-2021 ),AN-204,Diglipur,13.26667,93,0.6800,geonames,false,"geonames=1272607; matched=""Diglipur""; query=""Diglipur""; feature=PPL"
Andaman & Nicobar Island,Ferrargunj - AN200( 12-OCT-2021 ),AN-200,Ferrargunj,11.87237,92.65643,0.6800,geonames,false,"geonames=12684313; matched=""Ferrargunj""; query=""Ferrargunj""; feature=ADM3"
Andaman & Nicobar Island,Little Andaman - AN207( 17-FEB-2025 ),AN-207,Little Andaman,10.70559,92.48945,0.6800,geonames,false,"geonames=12684314; matched=""Little Andaman""; query=""Little Andaman""; feature=ADM3"
Andaman & Nicobar Island,Mayabunder - AN203( 09-NOV-2021 ),AN-203,Mayabunder,12.90954,92.90348,0.6800,geonames,false,"geonames=1263259; matched=""Mayabandar""; query=""Mayabunder""; feature=PPL"
Andaman & Nicobar Island,Port Blair DTO - AN1( 15-AUG-2020 ),AN-1,Port Blair,11.66613,92.74635,0.6800,geonames,false,"geonames=1259385; matched=""Port Blair""; query=""Port Blair""; feature=PPLA"
Andaman & Nicobar Island,Rangat - AN202( 17-NOV-2021 ),AN-202,Rangat,12.50595,92.9155,0.6800,geonames,false,"geonames=11184472; matched=""Rangat""; query=""Rangat""; feature=PPL"
Andaman & Nicobar Island,Swaraj Dweep - AN206( 29-NOV-2021 ),AN-206,Swaraj Dweep,11.70065,92.67517,0.6200,geonames,false,"geonames=1278647; matched=""Union Territory of Andaman and Nicobar Islands""; query=""Andaman & Nicobar Island""; feature=ADM1"
Andhra Pradesh,Adoni RTO - AP221( 06-MAY-2022 ),AP-221,Adoni,15.626142,77.27237,0.6600,nominatim,false,"geocoded query=""Adoni Andhra Pradesh India""; osm=node/245632505"
Andhra Pradesh,Amalapuram RTA - AP205( 25-APR-2022 ),AP-205,Amalapuram RTA,16.577718,82.003262,0.6600,nominatim,false,"geocoded query=""Amalapuram Andhra Pradesh India""; osm=node/2857106989"
Andhra Pradesh,Anakapalli RTA - AP131( 25-APR-2022 ),AP-131,Anakapalli RTA,17.671533,82.774757,0.6600,nominatim,false,"geocoded query=""Anakapalli Andhra Pradesh India""; osm=relation/13999884"
Andhra Pradesh,Anantapur RTA - AP2( 25-APR-2022 ),AP-2,Anantapur RTA,14.678322,77.606504,0.7200,nominatim,false,"geocoded query=""Anantapur Andhra Pradesh India""; osm=node/603465222"
Andhra Pradesh,Atmakur MVI Office - AP126( 11-MAY-2022 ),AP-126,Atmakur,14.669176,79.574361,0.6600,nominatim,false,"geocoded query=""Atmakur Andhra Pradesh India""; osm=relation/10222924"
Andhra Pradesh,Atmakur-Kurnool MVI Office - AP321( 06-MAY-2022 ),AP-321,Atmakur Kurnool,15.82887,78.03602,0.6200,geonames,false,"geonames=1265491; matched=""Kurnool""; query=""Kurnool""; feature=PPL"
Andhra Pradesh,BAPATLA RTO OFFICE - AP207( 25-APR-2022 ),AP-207,BAPATLA,15.93443,80.450552,0.6600,nominatim,false,"geocoded query=""BAPATLA Andhra Pradesh India""; osm=relation/13998258"
Andhra Pradesh,Badvel MVI Office - AP104( 06-MAY-2022 ),AP-104,Badvel,14.743361,79.061039,0.6600,nominatim,false,"geocoded query=""Badvel Andhra Pradesh India""; osm=node/245628716"
Andhra Pradesh,Bhimavaram RTA - AP137( 25-APR-2022 ),AP-137,Bhimavaram RTA,16.48181,81.532936,0.6000,nominatim,false,"geocoded query=""Bhimavaram Andhra Pradesh India""; osm=relation/10143910"
Andhra Pradesh,Chilakaluripeta MVI Office - AP307( 06-MAY-2022 ),AP-307,Chilakaluripeta,16.093334,80.155557,0.6000,nominatim,false,"geocoded query=""Chilakaluripeta Andhra Pradesh India""; osm=relation/10160448"
Andhra Pradesh,Chintoor - AP905( 09-JUN-2022 ),AP-905,Chintoor,17.75358,81.407264,0.7600,nominatim,false,"geocoded query=""Chintoor Andhra Pradesh India""; osm=node/11891752437"
