year,month,state,rto,maker,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2026,5,INDIA TOTAL,All Vahan4 Running Office,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ASTON MARTIN LAGONDA LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,ATHER ENERGY LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,AUDI AG,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,4,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,AUTOMOBILI LAMBORGHINI S.P.A,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,5,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,BAJAJ AUTO LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,3,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,BENTLEY MOTORS LIMITED,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,2,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,BENTLEY MOTORS LTD (SAVWIPL),ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,BMW INDIA PVT LTD,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,1404,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2026,5,INDIA TOTAL,All Vahan4 Running Office,BYD AUTO,ALL,ALL,ALL,ADAPTED VEHICLE|MOTOR CAR|MOTOR CARAVAN|OMNI BUS (PRIVATE USE)|VINTAGE MOTOR VEHICLE,0,2026-06-14T09:45:02.903Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
