month,total_registrations,source
2024-01,173348,historical_project_screenshot
2024-02,148091,historical_project_screenshot
2024-03,152806,historical_project_screenshot
2024-04,173552,historical_project_screenshot
2024-05,160256,historical_project_screenshot
2024-06,135274,historical_project_screenshot
2024-07,140476,historical_project_screenshot
2024-08,137112,historical_project_screenshot
2024-09,138070,historical_project_screenshot
2024-10,259252,historical_project_screenshot
2024-11,268441,historical_project_screenshot
2024-12,164751,historical_project_screenshot
