follow_up_id,family,source_case_id,lane,source_classification,suggested_query,purpose,execution_status
FU-GEOGRAPHY-1,geography,Q009,rules,filter_mismatch,How many two wheeler registrations in Bihar during October 2024.,Target the geography failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-GEOGRAPHY-2,geography,Q022,rules,filter_mismatch,Return BS VI diesel motor car registrations in Delhi during November 2025.,Target the geography failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-GEOGRAPHY-3,geography,Q026,rules,filter_mismatch,How many diesel registrations at DL-01 RTO during February 2025.,Target the geography failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-DATE-1,date,Q009,rules,filter_mismatch,How many two wheeler registrations in Bihar during October 2024.,Target the date failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-DATE-2,date,Q022,rules,filter_mismatch,Return BS VI diesel motor car registrations in Delhi during November 2025.,Target the date failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-DATE-3,date,Q026,rules,filter_mismatch,How many diesel registrations at DL-01 RTO during February 2025.,Target the date failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CATEGORY-1,category,Q009,rules,filter_mismatch,How many two wheeler registrations in Bihar during October 2024.,Target the category failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CATEGORY-2,category,Q028,rules,filter_mismatch,Return two wheeler registrations at TN-01 RTO during April 2025.,Target the category failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CATEGORY-3,category,Q030,rules,filter_mismatch,How many BS IV CNG three wheeler registrations in Gujarat during June 2025.,Target the category failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-FUEL-1,fuel,Q022,rules,filter_mismatch,How many BS VI diesel motor car registrations in Delhi during November 2025.,Target the fuel failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-FUEL-2,fuel,Q026,rules,filter_mismatch,Return diesel registrations at DL-01 RTO during February 2025.,Target the fuel failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-FUEL-3,fuel,Q027,rules,filter_mismatch,How many EV registrations at KA-01 RTO during March 2025.,Target the fuel failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CLASS-1,class,Q022,rules,filter_mismatch,How many BS VI diesel motor car registrations in Delhi during November 2025.,Target the class failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CLASS-2,class,Q040,rules,filter_mismatch,Return BS6 erickshaw passenger registrations in Delhi during October 2025.,Target the class failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-CLASS-3,class,Q047,rules,filter_mismatch,"For Nov 2025 in Delhi, total BS6 diesel motor cars registered.",Target the class failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-NORM-1,norm,Q022,rules,filter_mismatch,How many BS VI diesel motor car registrations in Delhi during November 2025.,Target the norm failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-NORM-2,norm,Q030,rules,filter_mismatch,Return BS IV CNG three wheeler registrations in Gujarat during June 2025.,Target the norm failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-NORM-3,norm,Q031,rules,filter_mismatch,How many EV 4w BS6 registrations in Maharastra during January 2025.,Target the norm failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-RTO-1,rto,Q026,rules,filter_mismatch,How many diesel registrations at DL-01 RTO during February 2025.,Target the rto failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-RTO-2,rto,Q027,rules,filter_mismatch,Return EV registrations at KA-01 RTO during March 2025.,Target the rto failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-RTO-3,rto,Q028,rules,filter_mismatch,How many two wheeler registrations at TN-01 RTO during April 2025.,Target the rto failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SPELLING-1,spelling,Q031,rules,filter_mismatch,How many EV 4w BS6 registrations in Maharastra during January 2025.,Target the spelling failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SPELLING-2,spelling,Q040,rules,filter_mismatch,Return BS6 erickshaw passenger registrations in Delhi during October 2025.,Target the spelling failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SPELLING-3,spelling,Q031,groq,data_inconsistency,How many EV 4w BS6 registrations in Maharastra during January 2025.,Target the spelling failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SHORTHAND-1,shorthand,Q040,rules,filter_mismatch,How many BS6 erickshaw passenger registrations in Delhi during October 2025.,Target the shorthand failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SHORTHAND-2,shorthand,Q033,groq,filter_mismatch,Return CNG 3w registrations in UP during March 2025.,Target the shorthand failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-SHORTHAND-3,shorthand,Q040,groq,filter_mismatch,How many BS6 erickshaw passenger registrations in Delhi during October 2025.,Target the shorthand failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-PARAPHRASE-1,paraphrase,Q044,rules,filter_mismatch,"In Bihar, what was the two-wheeler registration total for Oct 2024?",Target the paraphrase failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-PARAPHRASE-2,paraphrase,Q047,rules,filter_mismatch,"For Nov 2025 in Delhi, total BS6 diesel motor cars registered.",Target the paraphrase failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
FU-PARAPHRASE-3,paraphrase,Q049,rules,filter_mismatch,How many Maharashtra electric four-wheeler Bharat Stage VI registrations for Jan 2025.,Target the paraphrase failure with controlled wording while retaining the same independent expected filters.,not_run_to_preserve_50_call_groq_cap
