case_id,case_group,pair_id,lane,classification,provider_fallback,groq_call_attempted,http_status,families,query,expected_state,actual_state,expected_rto_contains,actual_rto,expected_from,actual_from,expected_to,actual_to,expected_fuel_segment,actual_fuel_segment,expected_fuel_type,actual_fuel_type,expected_selected_fuel_types,actual_selected_fuel_types,expected_vehicle_categories,actual_vehicle_categories,expected_vehicle_classes,actual_vehicle_classes,expected_norms,actual_norms,filter_mismatches,data_issues,warnings,data_status,summary_total,row_count
Q001,coverage,P01,groq,pass,false,true,200,geography|date,Show vehicle registrations in Maharashtra for January 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,,,,,,,,,,,,,,,,complete,289729,22
Q002,coverage,,groq,pass,false,true,200,geography|date,Show registrations in Delhi from February 2025 to March 2025.,Delhi,Delhi,,,2025-02,2025-02,2025-03,2025-03,,,,,,,,,,,,,,,,complete,109850,34
Q003,coverage,P02,groq,pass,false,true,200,geography|date|fuel,Show diesel vehicle registrations in Karnataka during April 2024.,Karnataka,Karnataka,,,2024-04,2024-04,2024-04,2024-04,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,,,,missing,0,0
Q004,coverage,,groq,pass,false,true,200,geography|date|fuel,Show petrol vehicle registrations in Tamil Nadu during May 2024.,Tamil Nadu,Tamil Nadu,,,2024-05,2024-05,2024-05,2024-05,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,,,,,,,,,,missing,0,0
Q005,coverage,P03,groq,pass,false,true,200,geography|date|fuel,Show EV registrations in Uttar Pradesh during June 2024.,Uttar Pradesh,Uttar Pradesh,,,2024-06,2024-06,2024-06,2024-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,,,,missing,0,0
Q006,coverage,,groq,pass,false,true,200,geography|date|fuel,Show CNG registrations in Gujarat during July 2024.,Gujarat,Gujarat,,,2024-07,2024-07,2024-07,2024-07,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,,,,,,,,,,missing,0,0
Q007,coverage,,groq,pass,false,true,200,geography|date|fuel,Show electric BOV registrations in Rajasthan during August 2024.,Rajasthan,Rajasthan,,,2024-08,2024-08,2024-08,2024-08,EV,EV,ELECTRIC,ELECTRIC,ELECTRIC(BOV),ELECTRIC(BOV),,,,,,,,,,missing,0,0
Q008,coverage,,groq,filter_mismatch,false,true,200,geography|date|fuel,Show pure EV registrations in West Bengal during September 2024.,West Bengal,West Bengal,,,2024-09,2024-09,2024-09,2024-09,EV,EV,PURE EV,PURE EV,PURE EV,PURE EV,,TWO WHEELER(NT),,,,NOT APPLICABLE,"vehicleCategories:[]=>[""TWO WHEELER(NT)""]|selectedVehicleCategories:[]=>[""TWO WHEELER(NT)""]|norms:[]=>[""NOT APPLICABLE""]|selectedNorms:[]=>[""NOT APPLICABLE""]",,,missing,0,0
Q009,coverage,P04,groq,pass,false,true,200,geography|date|category,Show two wheeler registrations in Bihar during October 2024.,Bihar,Bihar,,,2024-10,2024-10,2024-10,2024-10,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,missing,0,0
Q010,coverage,,groq,pass,false,true,200,geography|date|category,Show three wheeler registrations in Kerala during November 2024.,Kerala,Kerala,,,2024-11,2024-11,2024-11,2024-11,,,,,,,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,,,,,missing,0,0
Q011,coverage,,groq,pass,false,true,200,geography|date|category,Show four wheeler registrations in Telangana during December 2024.,Telangana,Telangana,,,2024-12,2024-12,2024-12,2024-12,,,,,,,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,,,,,,missing,0,0
Q012,coverage,,groq,pass,false,true,200,geography|date|category,Show LMV registrations in Madhya Pradesh during January 2025.,Madhya Pradesh,Madhya Pradesh,,,2025-01,2025-01,2025-01,2025-01,,,,,,,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,missing,0,0
Q013,coverage,,groq,pass,false,true,200,geography|date|category,Show HMV registrations in Odisha during February 2025.,Odisha,Odisha,,,2025-02,2025-02,2025-02,2025-02,,,,,,,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,missing,0,0
Q014,coverage,P05,groq,pass,false,true,200,geography|date|class,Show motor car registrations in Assam during March 2025.,Assam,Assam,,,2025-03,2025-03,2025-03,2025-03,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q015,coverage,,groq,pass,false,true,200,geography|date|class,Show bus registrations in Jharkhand during April 2025.,Jharkhand,Jharkhand,,,2025-04,2025-04,2025-04,2025-04,,,,,,,,,BUS,BUS,,,,,,missing,0,0
Q016,coverage,,groq,filter_mismatch,false,true,200,geography|date|class,Show goods carrier registrations in Haryana during May 2025.,Haryana,Haryana,,,2025-05,2025-05,2025-05,2025-05,,,,,,DIESEL,,,GOODS CARRIER,GOODS CARRIER,,,"selectedFuelTypes:[]=>[""DIESEL""]",,,missing,0,0
Q017,coverage,,groq,filter_mismatch,false,true,200,geography|date|class,Show passenger e-rickshaw registrations in Punjab during June 2025.,Punjab,Punjab,,,2025-06,2025-06,2025-06,2025-06,,,,,,E-RICKSHAW(P),,LIGHT PASSENGER VEHICLE,E-RICKSHAW(P),E-RICKSHAW(P),,NOT APPLICABLE,"selectedFuelTypes:[]=>[""E-RICKSHAW(P)""]|vehicleCategories:[]=>[""LIGHT PASSENGER VEHICLE""]|selectedVehicleCategories:[]=>[""LIGHT PASSENGER VEHICLE""]|norms:[]=>[""NOT APPLICABLE""]|selectedNorms:[]=>[""NOT APPLICABLE""]",,,missing,0,0
Q018,coverage,,groq,filter_mismatch,false,true,200,geography|date|class,Show scooter registrations in Andhra Pradesh during July 2025.,Andhra Pradesh,Andhra Pradesh,,,2025-07,2025-07,2025-07,2025-07,,,,,,PETROL,,,M-CYCLE/SCOOTER,M-CYCLE/SCOOTER,,,"selectedFuelTypes:[]=>[""PETROL""]",,,missing,0,0
Q019,coverage,P06,groq,pass,false,true,200,geography|date|norm,Show BS VI vehicle registrations in Chandigarh during August 2025.,Chandigarh,Chandigarh,,,2025-08,2025-08,2025-08,2025-08,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,missing,0,0
Q020,coverage,,groq,pass,false,true,200,geography|date|norm,Show BS IV vehicle registrations in Goa during September 2025.,Goa,Goa,,,2025-09,2025-09,2025-09,2025-09,,,,,,,,,,,BHARAT STAGE IV,BHARAT STAGE IV,,,,missing,0,0
Q021,coverage,,groq,filter_mismatch,false,true,200,geography|date|class|norm,Show BS III motor car registrations in Maharashtra during October 2025.,Maharashtra,Maharashtra,,,2025-10,2025-10,2025-10,2025-10,,,,,,DIESEL,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE III,BHARAT STAGE III,"selectedFuelTypes:[]=>[""DIESEL""]",,,missing,0,0
Q022,coverage,P07,groq,data_inconsistency,false,true,200,geography|date|fuel|class|norm,Show BS VI diesel motor car registrations in Delhi during November 2025.,Delhi,Delhi,,,2025-11,2025-11,2025-11,2025-11,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,BHARAT STAGE VI,,paraphrase_pair_result_mismatch:P07,,complete,866,1
Q023,coverage,,groq,filter_mismatch,false,true,200,geography|date|fuel|category|norm,Show BS VI EV two wheeler registrations in Karnataka during December 2025.,Karnataka,Karnataka,,,2025-12,2025-12,2025-12,2025-12,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER (Invalid Carriage)|TWO WHEELER(NT)|TWO WHEELER(T),,,BHARAT STAGE VI,BHARAT STAGE VI,"vehicleCategories:[""TWO WHEELER(NT)"",""TWO WHEELER(T)""]=>[""TWO WHEELER (Invalid Carriage)"",""TWO WHEELER(NT)"",""TWO WHEELER(T)""]|selectedVehicleCategories:[""TWO WHEELER(NT)"",""TWO WHEELER(T)""]=>[""TWO WHEELER (Invalid Carriage)"",""TWO WHEELER(NT)"",""TWO WHEELER(T)""]",,,missing,0,0
Q024,coverage,,groq,pass,false,true,200,geography|date|fuel|class,Show petrol bus registrations in Tamil Nadu during January 2025.,Tamil Nadu,Tamil Nadu,,,2025-01,2025-01,2025-01,2025-01,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,,,BUS,BUS,,,,,,missing,0,0
Q025,coverage,P08,groq,pass,false,true,200,geography|rto|date|class,Show motor car registrations at MH-12 RTO during January 2025.,Maharashtra,Maharashtra,MH-12,PUNE - MH12( 25-JAN-2017 ),2025-01,2025-01,2025-01,2025-01,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,Resolved MH-12 to PUNE - MH12( 25-JAN-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q026,coverage,,groq,filter_mismatch,false,true,200,geography|rto|date|fuel,Show diesel registrations at DL-01 RTO during February 2025.,Delhi,Delhi,DL-01,,2025-02,2025-02,2025-02,2025-02,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,"rto:""contains DL-01""=>""""",missing_months_not_reported:2025-02,"Could not resolve location ""DL-1"" from loaded data.",complete,0,0
Q027,coverage,,groq,filter_mismatch,false,true,200,geography|rto|date|fuel,Show EV registrations at KA-01 RTO during March 2025.,Karnataka,Karnataka,KA-01,,2025-03,2025-03,2025-03,2025-03,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,"rto:""contains KA-01""=>""""",missing_months_not_reported:2025-03,"Could not resolve location ""KA-1"" from loaded data.",complete,0,0
Q028,coverage,,groq,filter_mismatch,false,true,200,geography|rto|date|category,Show two wheeler registrations at TN-01 RTO during April 2025.,Tamil Nadu,Tamil Nadu,TN-01,,2025-04,2025-04,2025-04,2025-04,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,"rto:""contains TN-01""=>""""",missing_months_not_reported:2025-04,"Could not resolve location ""TN-1"" from loaded data.",complete,0,0
Q029,coverage,,groq,pass,false,true,200,geography|rto|date|norm,Show BS VI registrations at UP-16 RTO during May 2025.,Uttar Pradesh,Uttar Pradesh,UP-16,Noida - UP16( 13-NOV-2017 ),2025-05,2025-05,2025-05,2025-05,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,Resolved UP-16 to Noida - UP16( 13-NOV-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q030,coverage,P10,groq,filter_mismatch,false,true,200,geography|date|fuel|category|norm,Show BS IV CNG three wheeler registrations in Gujarat during June 2025.,Gujarat,Gujarat,,,2025-06,2025-06,2025-06,2025-06,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,BHARAT STAGE IV,BHARAT STAGE IV,"paraphrase_pair:""identical filters""=>""differs in P10""",,,missing,0,0
Q031,spelling_shorthand,P09,groq,data_inconsistency,false,true,200,spelling|geography|date|fuel|category|norm,Show EV 4w BS6 registrations in Maharastra during January 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,BHARAT STAGE VI,BHARAT STAGE VI,,missing_months_not_reported:2025-01,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
Q032,spelling_shorthand,,groq,filter_mismatch,false,true,200,spelling|geography|date|fuel|category,Show diesel 2w registrations in Gujrat during February 2025.,Gujarat,Gujarat,,,2025-02,2025-02,2025-02,2025-02,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,NOT APPLICABLE,"norms:[]=>[""NOT APPLICABLE""]|selectedNorms:[]=>[""NOT APPLICABLE""]",,,missing,0,0
Q033,spelling_shorthand,,groq,filter_mismatch,false,true,200,shorthand|geography|date|fuel|category,Show CNG 3w registrations in UP during March 2025.,Uttar Pradesh,Uttar Pradesh,,,2025-03,2025-03,2025-03,2025-03,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER (Invalid Carriage)|THREE WHEELER(NT)|THREE WHEELER(T),,,,,"vehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER (Invalid Carriage)"",""THREE WHEELER(NT)"",""THREE WHEELER(T)""]|selectedVehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER (Invalid Carriage)"",""THREE WHEELER(NT)"",""THREE WHEELER(T)""]",,,missing,0,0
Q034,spelling_shorthand,,groq,pass,false,true,200,spelling|geography|date|fuel|category,Show petrol LMV registrations in Karnatak during April 2025.,Karnataka,Karnataka,,,2025-04,2025-04,2025-04,2025-04,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,missing,0,0
Q035,spelling_shorthand,,groq,pass,false,true,200,spelling|geography|date|fuel|category,Show diesel HMV registrations in Rajsthan during May 2025.,Rajasthan,Rajasthan,,,2025-05,2025-05,2025-05,2025-05,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,missing,0,0
Q036,spelling_shorthand,P11,groq,pass,false,true,200,shorthand|geography|date|fuel|class,Show BOV motor car registrations in Delhi during June 2025.,Delhi,Delhi,,,2025-06,2025-06,2025-06,2025-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q037,spelling_shorthand,,groq,pass,false,true,200,shorthand|geography|date|fuel|class,Show E20 petrol motor car registrations in Maharashtra during July 2025.,Maharashtra,Maharashtra,,,2025-07,2025-07,2025-07,2025-07,NON_EV,NON_EV,PETROL(E20),PETROL(E20),PETROL(E20),PETROL(E20),,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q038,spelling_shorthand,,groq,pass,false,true,200,shorthand|geography|date|fuel|class,Show PHEV motor car registrations in Karnataka during August 2025.,Karnataka,Karnataka,,,2025-08,2025-08,2025-08,2025-08,,,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q039,spelling_shorthand,,groq,pass,false,true,200,shorthand|geography|date|category,Show 2w NT registrations in Delhi during September 2025.,Delhi,Delhi,,,2025-09,2025-09,2025-09,2025-09,,,,,,,TWO WHEELER(NT),TWO WHEELER(NT),,,,,,,,missing,0,0
Q040,spelling_shorthand,,groq,filter_mismatch,false,true,200,shorthand|spelling|geography|date|class|norm,Show BS6 erickshaw passenger registrations in Delhi during October 2025.,Delhi,Delhi,,,2025-10,2025-10,2025-10,2025-10,,,,,,E-RICKSHAW(P),,LIGHT PASSENGER VEHICLE,E-RICKSHAW(P),E-RICKSHAW(P),BHARAT STAGE VI,BHARAT STAGE VI,"selectedFuelTypes:[]=>[""E-RICKSHAW(P)""]|vehicleCategories:[]=>[""LIGHT PASSENGER VEHICLE""]|selectedVehicleCategories:[]=>[""LIGHT PASSENGER VEHICLE""]",missing_months_not_reported:2025-10,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
Q041,paraphrase,P01,groq,pass,false,true,200,paraphrase|geography|date,"For Maharashtra, give the registration total for vehicles in Jan 2025.",Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,,,,,,,,,,,,,,,,complete,289729,22
Q042,paraphrase,P02,groq,pass,false,true,200,paraphrase|geography|date|fuel,How many diesel vehicles were registered in Karnataka in Apr 2024?,Karnataka,Karnataka,,,2024-04,2024-04,2024-04,2024-04,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,,,,missing,0,0
Q043,paraphrase,P03,groq,pass,false,true,200,paraphrase|geography|date|fuel,Give Uttar Pradesh electric vehicle registrations for Jun 2024.,Uttar Pradesh,Uttar Pradesh,,,2024-06,2024-06,2024-06,2024-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,,,,missing,0,0
Q044,paraphrase,P04,groq,api_error,true,true,422,paraphrase|geography|date|category,"In Bihar, what was the two-wheeler registration total for Oct 2024?",Bihar,,,,2024-10,,2024-10,,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,,,,
Q045,paraphrase,P05,groq,pass,false,true,200,paraphrase|geography|date|class,Return Assam motor-car registrations for Mar 2025.,Assam,Assam,,,2025-03,2025-03,2025-03,2025-03,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q046,paraphrase,P06,groq,pass,false,true,200,paraphrase|geography|date|norm,Give Chandigarh Bharat Stage 6 vehicle registrations for Aug 2025.,Chandigarh,Chandigarh,,,2025-08,2025-08,2025-08,2025-08,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,,missing,0,0
Q047,paraphrase,P07,groq,data_inconsistency,false,true,200,paraphrase|geography|date|fuel|class|norm,"For Nov 2025 in Delhi, total BS6 diesel motor cars registered.",Delhi,Delhi,,,2025-11,2025-11,2025-11,2025-11,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,BHARAT STAGE VI,,missing_months_not_reported:2025-11|paraphrase_pair_result_mismatch:P07,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
